symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM6,-2,0,0.25,11890610724,11890611043,1,27863.25,27829.50,$(67.50),05/01/2026 13:26:05,05/01/2026 14:01:21,35min 15sec
MNQM6,-2,0,0.25,11890611019,11890611057,2,27803.25,27829.25,$104.00,05/01/2026 13:48:44,05/01/2026 14:01:21,12min 36sec
NQM6,-2,0,0.25,11890611078,11890611087,1,27840.25,27842.00,$35.00,05/01/2026 14:08:06,05/01/2026 14:08:55,48sec
NQM6,-2,0,0.25,11890611068,11890611087,1,27846.50,27842.00,$(90.00),05/01/2026 14:07:16,05/01/2026 14:08:55,1min 38sec
NQM6,-2,0,0.25,11890611100,11890611109,1,27878.25,27879.00,$15.00,05/01/2026 14:32:25,05/01/2026 14:32:27,2sec
NQM6,-2,0,0.25,11890611120,11890611129,1,27878.50,27880.75,$45.00,05/01/2026 14:40:09,05/01/2026 14:40:18,9sec
MNQM6,-2,0,0.25,11890611158,11890611185,1,27788.25,27788.50,$0.50,05/01/2026 15:21:16,05/01/2026 15:44:58,23min 41sec
MNQM6,-2,0,0.25,11890611149,11890611185,1,27803.00,27788.50,$(29.00),05/01/2026 15:18:18,05/01/2026 15:44:58,26min 39sec
MNQM6,-2,0,0.25,11890611140,11890611185,1,27820.25,27788.50,$(63.50),05/01/2026 15:13:52,05/01/2026 15:44:58,31min 6sec
MNQM6,-2,0,0.25,11890611176,11890611197,4,27784.50,27788.25,$30.00,05/01/2026 15:40:54,05/01/2026 15:44:58,4min 3sec
MNQM6,-2,0,0.25,11890611167,11890611197,1,27794.00,27788.25,$(11.50),05/01/2026 15:34:45,05/01/2026 15:44:58,10min 12sec
MESM6,-2,0,0.25,11890611219,11890611230,1,7266.50,7266.25,$(1.25),05/03/2026 20:52:56,05/03/2026 20:53:05,9sec
NQM6,-2,0,0.25,11890611260,11890611251,1,27912.75,27917.50,$95.00,05/03/2026 21:01:19,05/03/2026 20:58:06,3min 13sec
NQM6,-2,0,0.25,11890611260,11890611241,1,27912.75,27914.50,$35.00,05/03/2026 21:01:19,05/03/2026 20:53:21,7min 58sec
NQM6,-2,0,0.25,11890611273,11890611289,1,27903.50,27905.75,$45.00,05/03/2026 21:07:14,05/03/2026 21:09:53,2min 39sec
MNQM6,-2,0,0.25,11890611319,11890611337,2,27886.75,27899.50,$51.00,05/03/2026 21:26:11,05/03/2026 21:33:31,7min 20sec
MNQM6,-2,0,0.25,11890611310,11890611337,1,27905.25,27899.50,$(11.50),05/03/2026 21:22:51,05/03/2026 21:33:31,10min 40sec
MNQM6,-2,0,0.25,11890611300,11890611337,1,27897.00,27899.50,$5.00,05/03/2026 21:15:59,05/03/2026 21:33:31,17min 31sec
MNQM6,-2,0,0.25,11890611328,11890611349,2,27885.50,27899.25,$55.00,05/03/2026 21:30:00,05/03/2026 21:33:31,3min 31sec
NQM6,-2,0,0.25,11890611369,11890611360,1,27913.25,27915.75,$50.00,05/03/2026 21:48:07,05/03/2026 21:47:29,37sec
NQM6,-2,0,0.25,11890611430,11890611389,1,27922.25,27931.00,$175.00,05/03/2026 22:32:24,05/03/2026 21:53:50,38min 34sec
NQM6,-2,0,0.25,11890611430,11890611380,1,27922.25,27918.75,$(70.00),05/03/2026 22:32:24,05/03/2026 21:51:46,40min 38sec
MNQM6,-2,0,0.25,11890611443,11890611455,1,27924.50,27933.75,$18.50,05/03/2026 22:35:39,05/03/2026 22:45:22,9min 43sec
NQM6,-2,0,0.25,11890611470,11890611486,1,27927.25,27932.50,$105.00,05/03/2026 22:54:19,05/03/2026 22:59:44,5min 24sec
MNQM6,-2,0,0.25,11890611497,11890611506,1,27940.00,27942.75,$5.50,05/03/2026 23:33:32,05/03/2026 23:34:14,41sec
NQM6,-2,0,0.25,11890611531,11890611540,1,27945.25,27946.50,$25.00,05/03/2026 23:45:18,05/03/2026 23:46:38,1min 20sec
MNQM6,-2,0,0.25,11890611551,11890611560,1,27941.50,27947.25,$11.50,05/03/2026 23:53:24,05/04/2026 00:12:30,19min 6sec
NQM6,-2,0,0.25,11890611583,11890611599,1,27879.50,27886.25,$135.00,05/04/2026 03:16:30,05/04/2026 03:21:23,4min 52sec
MNQM6,-2,0,0.25,11890611610,11890611630,1,27895.00,27904.00,$18.00,05/04/2026 03:33:41,05/04/2026 03:40:07,6min 25sec
MNQM6,-2,0,0.25,11890611571,11890611630,1,27883.75,27904.00,$40.50,05/04/2026 03:11:30,05/04/2026 03:40:07,28min 37sec
MNQM6,-2,0,0.25,11890611643,11890611659,1,27894.25,27907.75,$27.00,05/04/2026 03:44:46,05/04/2026 04:33:09,48min 23sec
MNQM6,-2,0,0.25,11890611693,11890611677,1,27847.25,27863.25,$32.00,05/04/2026 07:36:34,05/04/2026 07:17:20,19min 14sec
MCLM6,-2,0,0.01,11890611704,11890611721,1,102.40,102.87,$47.00,05/04/2026 08:12:27,05/04/2026 08:28:37,16min 10sec
MNQM6,-2,0,0.25,11890611732,11890611741,1,27823.75,27837.75,$28.00,05/04/2026 08:35:06,05/04/2026 08:36:44,1min 37sec
MCLM6,-2,0,0.01,11890611752,11890611761,1,102.29,102.79,$50.00,05/04/2026 08:45:44,05/04/2026 09:09:44,24min 
MESM6,-2,0,0.25,11890611829,11890611799,1,7263.00,7269.75,$33.75,05/04/2026 09:57:08,05/04/2026 09:52:43,4min 24sec
MESM6,-2,0,0.25,11890611829,11890611782,1,7263.00,7270.25,$36.25,05/04/2026 09:57:08,05/04/2026 09:42:39,14min 28sec
MESM6,-2,0,0.25,11890611829,11890611772,1,7263.00,7265.00,$10.00,05/04/2026 09:57:08,05/04/2026 09:30:48,26min 19sec
MCLM6,-2,0,0.01,11890611876,11890611844,1,105.97,106.01,$4.00,05/04/2026 12:01:57,05/04/2026 11:50:43,11min 13sec
MCLM6,-2,0,0.01,11890611884,11890611856,1,105.98,106.14,$16.00,05/04/2026 12:01:57,05/04/2026 11:52:43,9min 13sec
MCLM6,-2,0,0.01,11890611902,11890611911,1,105.60,105.65,$5.00,05/04/2026 12:14:39,05/04/2026 12:14:52,13sec
MCLM6,-2,0,0.01,11890611934,11890612321,1,105.25,105.35,$10.00,05/04/2026 12:17:32,05/04/2026 12:34:22,16min 50sec
MCLM6,-2,0,0.01,11890611922,11890612321,1,105.57,105.35,$(22.00),05/04/2026 12:16:16,05/04/2026 12:34:22,18min 5sec
MCLM6,-2,0,0.01,11890612301,11890612331,2,105.06,105.35,$58.00,05/04/2026 12:30:00,05/04/2026 12:34:22,4min 22sec
MCLM6,-2,0,0.01,11890612360,11890612351,2,106.52,106.71,$38.00,05/04/2026 13:28:03,05/04/2026 13:27:59,3sec
MCLM6,-2,0,0.01,11890612360,11890612342,1,106.52,106.38,$(14.00),05/04/2026 13:28:03,05/04/2026 13:25:35,2min 28sec
MGCM6,-1,0,0.1,11890612373,11890612383,1,4521.1,4523.6,$25.00,05/04/2026 13:31:20,05/04/2026 13:33:06,1min 45sec
MCLM6,-2,0,0.01,11890612394,11890612403,2,106.09,106.15,$12.00,05/04/2026 13:35:40,05/04/2026 13:37:00,1min 19sec
MESM6,-2,0,0.25,11890612414,11890612423,1,7223.25,7229.75,$32.50,05/04/2026 13:42:41,05/04/2026 14:06:05,23min 23sec
MCLM6,-2,0,0.01,11890612470,11890612454,1,105.07,105.27,$20.00,05/04/2026 17:11:48,05/04/2026 17:07:56,3min 51sec
MCLM6,-2,0,0.01,11890612488,11890612504,1,104.26,104.47,$21.00,05/04/2026 22:07:34,05/04/2026 22:40:39,33min 5sec
NQM6,-2,0,0.25,11890612522,11890612531,1,27847.00,27848.50,$30.00,05/05/2026 00:41:16,05/05/2026 00:41:27,10sec
NQM6,-2,0,0.25,11890612542,11890612551,1,27847.00,27847.25,$5.00,05/05/2026 00:44:15,05/05/2026 00:54:14,9min 58sec
NQM6,-2,0,0.25,11890612568,11890612559,1,27852.00,27847.00,$(100.00),05/05/2026 00:56:55,05/05/2026 00:54:14,2min 41sec
NQM6,-2,0,0.25,11890612579,11890612588,1,27853.25,27858.25,$100.00,05/05/2026 00:57:05,05/05/2026 01:00:20,3min 15sec
NQM6,-2,0,0.25,11890612568,11890612588,1,27852.00,27858.25,$125.00,05/05/2026 00:56:55,05/05/2026 01:00:20,3min 25sec
NQM6,-2,0,0.25,11890612601,11890612610,1,27855.75,27927.75,"$1,440.00",05/05/2026 01:03:26,05/05/2026 03:36:01,2h 32min 35sec
MCLM6,-2,0,0.01,11890612621,11890612630,1,103.80,104.29,$49.00,05/05/2026 05:37:36,05/05/2026 05:45:25,7min 48sec
MCLM6,-2,0,0.01,11890612650,11890612641,1,104.75,104.85,$10.00,05/05/2026 06:21:18,05/05/2026 06:21:09,9sec
MCLM6,-2,0,0.01,11890612661,11890612673,1,103.91,104.04,$13.00,05/05/2026 06:36:33,05/05/2026 06:38:23,1min 50sec
MCLM6,-2,0,0.01,11890612688,11890612697,1,103.84,103.95,$11.00,05/05/2026 07:00:04,05/05/2026 07:01:22,1min 18sec
MCLM6,-2,0,0.01,11890612708,11890612720,1,102.59,102.71,$12.00,05/05/2026 08:08:14,05/05/2026 08:13:52,5min 38sec
MCLM6,-2,0,0.01,11890612744,11890612735,1,102.59,102.69,$10.00,05/05/2026 08:20:12,05/05/2026 08:14:08,6min 4sec
MCLM6,-2,0,0.01,11890612771,11890612762,1,102.36,102.55,$19.00,05/05/2026 08:46:01,05/05/2026 08:36:52,9min 9sec
MYMM6,0,0,1.0,11890612792,11890612782,1,49312,49339,$13.50,05/05/2026 09:36:55,05/05/2026 09:28:37,8min 17sec
MNQM6,-2,0,0.25,11890612815,11890612835,2,28083.50,28106.75,$93.00,05/05/2026 09:51:24,05/05/2026 09:55:10,3min 46sec
MNQM6,-2,0,0.25,11890612803,11890612835,1,28092.25,28106.75,$29.00,05/05/2026 09:47:09,05/05/2026 09:55:10,8min 
MNQM6,-2,0,0.25,11890612849,11890612858,1,28110.75,28117.00,$12.50,05/05/2026 11:45:29,05/05/2026 11:45:42,12sec
MESM6,-2,0,0.25,11890612943,11890612893,1,7282.50,7285.75,$16.25,05/05/2026 12:13:17,05/05/2026 11:50:15,23min 2sec
MCLM6,-2,0,0.01,11890612955,11890612917,1,101.90,102.30,$40.00,05/05/2026 12:16:33,05/05/2026 11:58:36,17min 56sec
MCLM6,-2,0,0.01,11890612955,11890612869,1,101.90,102.17,$27.00,05/05/2026 12:16:33,05/05/2026 11:46:47,29min 46sec
MNQM6,-2,0,0.25,11890612980,11890613000,1,28133.25,28144.25,$22.00,05/05/2026 12:22:20,05/05/2026 12:30:07,7min 46sec
MNQM6,-2,0,0.25,11890612968,11890613000,1,28127.00,28144.25,$34.50,05/05/2026 12:17:47,05/05/2026 12:30:07,12min 19sec
MNQM6,-2,0,0.25,11890613013,11890613031,1,28138.50,28149.25,$21.50,05/05/2026 12:34:08,05/05/2026 12:46:02,11min 54sec
MNQM6,-2,0,0.25,11890613022,11890613039,1,28137.25,28149.00,$23.50,05/05/2026 12:35:53,05/05/2026 12:46:02,10min 9sec
MNQM6,-2,0,0.25,11890613059,11890613068,1,28161.50,28161.00,$(1.00),05/05/2026 12:51:43,05/05/2026 12:51:45,2sec
MESM6,-2,0,0.25,11890613050,11890613079,1,7288.75,7289.50,$3.75,05/05/2026 12:51:35,05/05/2026 12:51:47,11sec
MCLM6,-2,0,0.01,11890613171,11890613096,1,102.08,102.09,$1.00,05/05/2026 13:29:18,05/05/2026 12:58:52,30min 25sec
MCLM6,-2,0,0.01,11890613179,11890613102,1,102.08,102.09,$1.00,05/05/2026 13:29:18,05/05/2026 12:58:52,30min 25sec
MCLM6,-2,0,0.01,11890613187,11890613108,1,102.08,102.09,$1.00,05/05/2026 13:29:18,05/05/2026 12:58:52,30min 25sec
MCLM6,-2,0,0.01,11890613195,11890613126,1,102.08,102.32,$24.00,05/05/2026 13:29:18,05/05/2026 13:10:08,19min 10sec
MCLM6,-2,0,0.01,11890613195,11890613117,2,102.08,102.22,$28.00,05/05/2026 13:29:18,05/05/2026 13:04:27,24min 51sec
MCLM6,-2,0,0.01,11890613205,11890613135,1,102.08,102.32,$24.00,05/05/2026 13:29:18,05/05/2026 13:10:08,19min 9sec
MCLM6,-2,0,0.01,11890613213,11890613147,1,102.08,102.43,$35.00,05/05/2026 13:29:18,05/05/2026 13:16:14,13min 4sec
MCLM6,-2,0,0.01,11890613221,11890613153,1,102.08,102.43,$35.00,05/05/2026 13:29:18,05/05/2026 13:16:14,13min 4sec
MCLM6,-2,0,0.01,11890613229,11890613162,1,102.08,102.54,$46.00,05/05/2026 13:29:18,05/05/2026 13:18:56,10min 22sec
MCLM6,-2,0,0.01,11890613240,11890613162,1,102.10,102.54,$44.00,05/05/2026 13:29:23,05/05/2026 13:18:56,10min 26sec
MCLM6,-2,0,0.01,11890613389,11890613281,1,102.60,102.37,$(23.00),05/05/2026 15:13:34,05/05/2026 14:15:55,57min 38sec
MCLM6,-2,0,0.01,11890613389,11890613272,1,102.60,102.31,$(29.00),05/05/2026 15:13:34,05/05/2026 14:13:11,1h 23sec
MCLM6,-2,0,0.01,11890613389,11890613260,1,102.60,102.28,$(32.00),05/05/2026 15:13:34,05/05/2026 13:59:22,1h 14min 11sec
MCLM6,-2,0,0.01,11890613389,11890613251,1,102.60,102.15,$(45.00),05/05/2026 15:13:34,05/05/2026 13:33:24,1h 40min 10sec
MCLM6,-2,0,0.01,11890613403,11890613320,1,102.61,102.57,$(4.00),05/05/2026 15:13:34,05/05/2026 14:30:01,43min 33sec
MCLM6,-2,0,0.01,11890613403,11890613314,1,102.61,102.57,$(4.00),05/05/2026 15:13:34,05/05/2026 14:30:01,43min 33sec
MCLM6,-2,0,0.01,11890613403,11890613308,1,102.61,102.57,$(4.00),05/05/2026 15:13:34,05/05/2026 14:30:01,43min 33sec
MCLM6,-2,0,0.01,11890613403,11890613302,1,102.61,102.57,$(4.00),05/05/2026 15:13:34,05/05/2026 14:30:01,43min 33sec
MCLM6,-2,0,0.01,11890613417,11890613339,3,102.61,102.77,$48.00,05/05/2026 15:13:34,05/05/2026 14:52:07,21min 26sec
MCLM6,-2,0,0.01,11890613417,11890613333,7,102.61,102.77,$112.00,05/05/2026 15:13:34,05/05/2026 14:52:06,21min 27sec
MCLM6,-2,0,0.01,11890613461,11890613443,1,102.48,102.61,$13.00,05/05/2026 17:40:00,05/05/2026 17:07:26,32min 34sec
MESM6,-2,0,0.25,11890613452,11890613472,1,7296.00,7298.75,$13.75,05/05/2026 17:08:45,05/05/2026 17:40:02,31min 17sec
MCLM6,-2,0,0.01,11890613539,11890613492,1,100.12,100.99,$87.00,05/05/2026 18:10:03,05/05/2026 17:53:11,16min 51sec
MCLM6,-2,0,0.01,11890613547,11890613515,1,100.21,100.50,$29.00,05/05/2026 18:10:03,05/05/2026 17:58:02,12min 1sec
MCLM6,-2,0,0.01,11890613560,11890613524,1,99.95,100.93,$98.00,05/05/2026 18:11:09,05/05/2026 18:01:04,10min 4sec
MCLM6,-2,0,0.01,11890613607,11890613589,1,99.88,100.20,$32.00,05/05/2026 18:48:33,05/05/2026 18:34:54,13min 39sec
MCLM6,-2,0,0.01,11890613618,11890613598,1,99.84,100.25,$41.00,05/05/2026 18:54:15,05/05/2026 18:41:29,12min 45sec
MCLM6,-2,0,0.01,11890613701,11890613671,1,100.49,101.03,$54.00,05/05/2026 20:00:12,05/05/2026 19:13:09,47min 3sec
